date,KBFI,KSEA,KRNT
201505191108,0,0,0
201505191109,0,0,0
201505191110,0,0,0
201505191111,0,0,0
201505191112,0,0,0
201505191113,0,0,0
201505191114,0,0,0
201505191115,0,0,0
201505191116,0,0,0
201505191117,0,0,0
201505191118,0,0,0
201505191119,0,0,0
201505191120,0,0,0
201505191121,0,0,0
201505191122,0,0,0
201505191123,0,0,0
201505191124,0,0,0
201505191125,0,0,0
201505191126,0,0,0
201505191127,0,0,0
201505191128,0,0,0
201505191129,0,0,0
201505191130,0,0,0
201505191131,0,0,0
201505191132,0,0,0
201505191133,0,0,0
201505191134,0,0,0
201505191135,0,0,0
201505191136,0,0,0
201505191137,0,0,0
201505191138,0,0,0
201505191139,0,0,0
201505191140,0,0,0
201505191141,0,0,0
201505191142,0,0,0
201505191143,0,0,0
201505191144,0,0,0
201505191145,0,0,0
201505191146,0,0,0
201505191147,0,0,0
201505191148,0,0,0
201505191149,0,0,0
201505191150,0,0,0
201505191151,0,0,0
201505191152,0,0,0
201505191153,0,0,0
201505191154,0,0,0
201505191155,0,0,0
201505191156,0,0,0
201505191157,0,0,0
201505191158,0,0,0
201505191159,0,0,0
201505191200,0,0,0
201505191201,0,0,0
201505191202,0,0,0
201505191203,0,0,0
201505191204,0,0,0
201505191205,0,0,0
201505191206,0,0,0
201505191207,0,0,0
201505191208,0,0,0
201505191209,0,0,0
201505191210,0,0,0
201505191211,0,0,0
201505191212,0,0,0
201505191213,0,0,0
201505191214,0,0,0
201505191215,0,0,0
201505191216,0,0,0
201505191217,0,0,0
201505191218,0,0,0
201505191219,0,0,0
201505191220,0,0,0
201505191221,0,0,0
201505191222,0,0,0
201505191223,0,0,0
201505191224,0,0,0
201505191225,0,0,0
201505191226,0,0,0
201505191227,0,0,0
201505191228,0,0,0
201505191229,0,0,0
201505191230,0,0,0
201505191231,0,0,0
201505191232,0,0,0
201505191233,0,0,0
201505191234,0,0,0
201505191235,0,0,0
201505191236,0,0,0
201505191237,0,0,0
201505191238,0,0,0
201505191239,0,0,0
201505191240,0,0,0
201505191241,0,0,0
201505191242,0,0,0
201505191243,0,0,0
201505191244,0,0,0
201505191245,0,0,0
201505191246,0,0,0
201505191247,0,0,0
201505191248,0,0,0
201505191249,0,0,0
201505191250,0,0,0
201505191251,0,0,0
201505191252,0,0,0
201505191253,0,0,0
201505191254,0,0,0
201505191255,0,0,0
201505191256,0,0,0
201505191257,0,0,0
201505191258,0,0,0
201505191259,0,0,0
201505191300,0,0,0
201505191301,0,0,0
201505191302,0,0,0
201505191303,0,0,0
201505191304,0,0,0
201505191305,0,0,0
201505191306,0,0,0
201505191307,0,0,0
201505191308,0,0,0
201505191309,0,0,0
201505191310,0,0,0
